Timestamp,Age?,Gender: ,Educational Background?,Occupation?,Please select your location based on your  District: ,Select  CHIEFDOM for BOMBALI  DISTRICT.,Select CHIEFDOM  for TONKOLILI DISTRICT.,Do you have access to the internet in your area? ,How often do you experience internet connectivity issues? ,"On average, how many hours per day do you use the internet? ",What types of internet-connected devices do you use?  (You may choose more than one) ,Which mobile network provider do you use? ,How satisfied are you with the internet/mobile services provided by your current network? ,What factors influence your choice of mobile network provider? (You may choose more than one) ,What are the main challenges you face in accessing the internet in rural areas? (You may choose more than one) ,Are there specific locations where internet connectivity is particularly poor? (You may choose more than one) ,How do internet connectivity issues affect your daily life or work? (You may choose more than one) ,What improvements would you like to see in terms of internet connectivity and mobile services in your area? (You may choose more than one) ,Are there specific services or applications you are unable to access due to connectivity issues? (You may choose more than one) ,How important is reliable internet access for economic development and community empowerment in rural areas? ,"Are you aware of the advancements in mobile network technology such as 4G, 5G, or 6G? ",Have you experienced any differences in internet speed or quality when using these advanced technologies? ,Do you believe the implementation of 4G/5G/6G could address connectivity challenges in rural areas? ,Have there been any initiatives or projects in your community aimed at improving internet connectivity? ,How involved are local authorities or community leaders in addressing connectivity issues? ,"Do you believe collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity? ",What are your expectations for the future of internet connectivity and mobile services in rural Sierra Leone? (You may choose more than one) ,How do you envision technology shaping rural development and connectivity in the coming years? (You may choose more than one) ,Academia:,Industry:,Government:,Do you have any suggestions for improving internet connectivity and mobile services in rural areas?,"Any additional comments or feedback regarding rural connectivity in Sierra Leone?
Please Specify ",,
2024/04/02 2:52:49 PM GMT+8,20 - 29,Male,Tertiary,Student ,Tonkolili,,YONI MABANTA,Yes,Constantly (Daily),More than 8 hours,Smartphone;Laptop;Smart TV,Orange,Very satisfied,Coverage and Signal Strength;Price and Affordability;Data Speed and Quality;Customer Service and Support;Family or Friends' Recommendations,Limited or Unreliable Connectivity;High Costs;Power Supply Issues;Limited Choice of Service Providers,Home;Workplace;School/University;Community Centers,Difficulty accessing information or resources online;Impact on productivity or work efficiency;Limited access to educational resources or online learning;Difficulty in conducting business transactions or online sales,"Better Coverage and Signal Strength;Faster Data Speeds;More Affordable Internet Plans;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Educational Platforms and E-learning Resources",Very Important,"Yes, I am aware of 4G, 5G, and 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","No, there have not been any initiatives or projects aimed at improving internet connectivity in my community.",Not at all involved - Local authorities and community leaders have shown no involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Improvement in internet speed and reliability;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity",Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Introduction of smart grid systems to improve energy efficiency and reliability,Develop and implement training programs to enhance digital literacy skills in rural communities.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Allocate funding for the expansion of digital infrastructure in rural areas.,,We need good connectivity in Sierra Leone ,,
2024/04/02 11:35:22 PM GMT+8,30 - 39,Male,Tertiary,Unemployed ,Bombali,GBANTI,,Yes,Frequently (Once a week or more),4-6 hours,Smartphone,Orange,Satisfied,Coverage and Signal Strength,High Costs;Power Supply Issues;Most times we're contrains of power supply during the drys ,Home;Healthcare Facilities;Remote Rural Areas;For some health facilities,The internet is expensive and cheating on the burning of data bundles ,"Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots;Support for Local Businesses and Entrepreneurs;Reduction of Data Caps or Usage Restrictions;Specific allocation of internet facilities to students because they needed it most for the assignments and basic research on educational materials. ","Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet)",Extremely Important,"I am aware of 4G and 5G, but not 6G.","No, I have not noticed any differences in internet speed or quality when using advanced technologies.","I think 4G/5G/6G implementation might help, but it may not fully address all connectivity challenges in rural areas.","Yes, there have been government-led initiatives or projects.","Somewhat involved - Local authorities and community leaders are making some efforts to address connectivity issues, but more action could be taken.","Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G)","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Collaborate with industry and government to pilot and evaluate new technologies and initiatives.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,"Government, Mobile network companies and local authorities to ensures we all put hands on fostering those that are responsible to do all what is takes for the improvement of telecommunication in all areas especially in the rural communities. ",This is a very swift research which I appreciate so much.,,
2024/04/03 12:03:21 AM GMT+8,40 - 49,Female,Tertiary,Nurse ,Bombali,BIRIWA LIMBA,,Yes,Constantly (Daily),More than 8 hours,Laptop;Tablet,Orange,Very satisfied,Coverage and Signal Strength;Price and Affordability,Limited or Unreliable Connectivity,Remote Rural Areas,,Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections,"Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Online Banking and Payment Services",Extremely Important,"I am aware of 4G and 5G, but not 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been government-led initiatives or projects.",Very involved - Local authorities and community leaders are actively engaged and taking significant steps to address connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.",Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability,"Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity",Develop and implement training programs to enhance digital literacy skills in rural communities.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,To improve the network system ,,,
2024/04/03 12:26:15 AM GMT+8,50 - 59,Male,Tertiary,Health Worker ,Bombali,MAKARI,,Yes,Frequently (Once a week or more),2-4 hours,Smartphone;Laptop,Orange,Neutral,Coverage and Signal Strength,Limited Choice of Service Providers,Workplace;Healthcare Facilities;Places of Worship;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Inability to complete online tasks;Limited access to educational resources or online learning",Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Improved Customer Service and Support;Introduction of Community Wi-Fi Hotspots,"Social Media Platforms (e.g., Facebook, Instagram, Twitter);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Online Banking and Payment Services;Educational Platforms and E-learning Resources",Extremely Important,"I am aware of 4G and 5G, but not 6G.","No, I have not noticed any differences in internet speed or quality when using advanced technologies.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","No, there have not been any initiatives or projects aimed at improving internet connectivity in my community.",Not very involved - Local authorities and community leaders have shown limited involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities",Conduct research to identify innovative solutions for improving rural connectivity.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,"Facilitate partnerships between academia, industry, and local communities to drive rural connectivity initiatives.",Expansion of source of power in rural communities ,"After expansion of power source,  then conduct a pilot project on the community needs in terms of Internet connectivity ",,
2024/04/03 5:26:34 AM GMT+8,30 - 39,Male,Tertiary,Public Servant,Bombali,BOMBALI SHEBORA,,Yes,Occasionally (2-3 times a month),2-4 hours,Smartphone,Africell,Dissatisfied,Coverage and Signal Strength,Lack of Infrastructure;High Costs,Home;Marketplaces;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls)","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots;Support for Local Businesses and Entrepreneurs;Reduction of Data Caps or Usage Restrictions","Social Media Platforms (e.g., Facebook, Instagram, Twitter);Messaging Apps (e.g., WhatsApp, Messenger, Telegram);Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);E-commerce Websites (e.g., Amazon, eBay, Alibaba)",Very Important,"I am aware of 4G and 5G, but not 6G.",I am not sure.,"Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been initiatives or projects led by non-profit organizations or community groups.",Not at all involved - Local authorities and community leaders have shown no involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Implementation of telemedicine solutions to improve healthcare access and outcomes;Introduction of smart grid systems to improve energy efficiency and reliability;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Conduct research to identify innovative solutions for improving rural connectivity.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,,,,
2024/04/03 6:34:02 AM GMT+8,30 - 39,Female,College graduate,Biomedical engineer,Bombali,BOMBALI SHEBORA,,Yes,Frequently (Once a week or more),More than 8 hours,Smartphone;Laptop;Tablet;Smart TV;Gaming console;Smartwatch,Orange,Neutral,Coverage and Signal Strength;Price and Affordability;Data Speed and Quality;Network Reputation and Reliability,Limited or Unreliable Connectivity;Power Supply Issues,Home;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency;Inability to complete online tasks;Difficulty in conducting business transactions or online sales","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots;Support for Local Businesses and Entrepreneurs;Reduction of Data Caps or Usage Restrictions",All but not frequently ,Extremely Important,"Yes, I am aware of 4G, 5G, and 6G.","I have noticed some improvements in internet speed and quality, but not significant ones.","I think 4G/5G/6G implementation might help, but it may not fully address all connectivity challenges in rural areas.",I am not sure.,Not at all involved - Local authorities and community leaders have shown no involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Increased availability of internet-enabled devices at affordable prices;Enhanced digital literacy programs to empower rural residents;Introduction of innovative solutions to address connectivity challenges (e.g., community networks, satellite internet);Support for local businesses and entrepreneurship through improved connectivity;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture);Promotion of inclusive policies to ensure equitable access to internet services","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship;Implementation of telemedicine solutions to improve healthcare access and outcomes;Introduction of smart grid systems to improve energy efficiency and reliability;Promotion of digital inclusion initiatives to ensure equitable access to technology and internet services;Fostering of partnerships between government, private sector, and community stakeholders to drive technology-driven rural development",Develop and implement training programs to enhance digital literacy skills in rural communities.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Allocate funding for the expansion of digital infrastructure in rural areas.,,,,
2024/04/03 7:25:27 PM GMT+8,20 - 29,Male,Tertiary,Student ,Bombali,BOMBALI SHEBORA,,Yes,Rarely (Once a month or less),More than 8 hours,Africell,Africell,Very satisfied,Price and Affordability,Limited or Unreliable Connectivity,Home,Difficulty accessing information or resources online,Increased Reliability and Stability of Internet Connections,"Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video)",Extremely Important,"Yes, I am aware of 4G, 5G, and 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been initiatives or projects led by non-profit organizations or community groups.",Very involved - Local authorities and community leaders are actively engaged and taking significant steps to address connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.",Introduction of affordable internet plans tailored for rural communities,"Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity",Conduct research to identify innovative solutions for improving rural connectivity.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,"It's good for the expansion of internet in the rural areas,must be affordable
",,,
2024/04/04 6:02:15 PM GMT+8,20 - 29,Male,Tertiary,Student ,Bombali,BOMBALI SHEBORA,,Yes,Occasionally (2-3 times a month),6-8 hours,Smartphone;Laptop;Smart TV,Orange,Satisfied,Coverage and Signal Strength;Price and Affordability;Data Speed and Quality;Customer Service and Support,Limited or Unreliable Connectivity;Lack of Infrastructure;High Costs;Power Supply Issues,Home;Workplace;School/University;Community Centers;Marketplaces;Healthcare Facilities;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency;Inability to complete online tasks;Limited access to educational resources or online learning","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Improved Customer Service and Support;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots","Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);E-commerce Websites (e.g., Amazon, eBay, Alibaba);Online Banking and Payment Services;Educational Platforms and E-learning Resources",Very Important,"Yes, I am aware of 4G, 5G, and 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","No, I do not believe that 4G/5G/6G implementation would make a significant difference in addressing connectivity challenges in rural areas.","Yes, there have been initiatives or projects led by private sector entities (e.g., telecommunications companies).",Not very involved - Local authorities and community leaders have shown limited involvement in addressing connectivity issues.,"I believe collaboration could be helpful, but it may not be essential for enhancing rural connectivity.",Expansion of internet coverage to currently underserved rural areas;Enhanced digital literacy programs to empower rural residents,"Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Integration of technology into education to improve access to quality learning resources and opportunities;Development of e-commerce platforms to facilitate economic growth and entrepreneurship",Develop and implement training programs to enhance digital literacy skills in rural communities.,Develop affordable and tailored internet and mobile service plans for rural communities.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,We need more improvement in the rural areas ,More improvement in the speed ,,
2024/04/04 6:38:20 PM GMT+8,30 - 39,Male,MSc. Environmental Management and Quality control. ,Environmentalist ,Tonkolili,,YONI MABANTA,Yes,Constantly (Daily),More than 8 hours,Smartphone,QCell,Neutral,Price and Affordability;Data Speed and Quality;Family or Friends' Recommendations,Limited or Unreliable Connectivity;Lack of Infrastructure,School/University;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Impact on productivity or work efficiency","Better Coverage and Signal Strength;Faster Data Speeds;More Affordable Internet Plans;Expansion of Infrastructure to Reach Remote Areas;Introduction of New Technologies (e.g., 5G/6G);Introduction of Community Wi-Fi Hotspots;Support for Local Businesses and Entrepreneurs","Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Cloud Storage and File Sharing Services (e.g., Google Drive, Dropbox);Educational Platforms and E-learning Resources;Government Services Portals",Extremely Important,"Yes, I am aware of 4G, 5G, and 6G.","I have noticed some improvements in internet speed and quality, but not significant ones.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been government-led initiatives or projects.",I am not sure.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Introduction of affordable internet plans tailored for rural communities;Enhanced digital literacy programs to empower rural residents;Integration of internet connectivity into essential services (e.g., healthcare, education, agriculture)","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Integration of technology into education to improve access to quality learning resources and opportunities",Conduct research to identify innovative solutions for improving rural connectivity.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,"Yes, there are several suggestions for improving internet connectivity and mobile services in rural areas. Here are some ideas:

1. Infrastructure Development: Invest in expanding the existing telecommunication infrastructure by installing additional cell towers, repeaters, and fiber-optic cables. This will help increase coverage and capacity in rural areas.

2. Satellite Internet: Consider implementing satellite-based internet services, which can provide coverage in remote areas where traditional wired infrastructure is not feasible. Satellite internet can be a cost-effective solution for bringing connectivity to rural regions.

3. Public-Private Partnerships: Encourage collaboration between government entities, private telecommunication companies, and local communities to jointly invest in expanding network coverage in rural areas. Public-private partnerships can help share the costs and resources required for infrastructure development.

4. Government Funding and Incentives: Governments can offer financial incentives, grants, and subsidies to telecommunication companies to encourage them to invest in rural areas. This can help offset the higher costs associated with deploying and maintaining infrastructure in remote regions.

5. Mobile Network Sharing: Promote network sharing agreements between different telecommunication operators. By sharing infrastructure and resources, companies can reduce costs and expand their coverage in rural areas more efficiently.

6. Community Networks: Encourage the formation of community-based networks where local residents and businesses collaborate to build and maintain their own telecommunications infrastructure. This approach has been successful in some rural areas, where communities take ownership of the network to ensure reliable connectivity.

7. Wireless Technologies: Utilize wireless technologies like Wi-Fi, WiMAX, and LTE to extend the reach of broadband services in rural areas. These technologies can provide cost-effective solutions for connecting remote communities.

8. Mobile Applications: Develop and promote mobile applications that are specifically designed for rural areas. These applications can provide essential services such as healthcare, education, agriculture, and e-commerce, utilizing the available connectivity.

9. Regulatory Reforms: Evaluate and update regulations to remove barriers to infrastructure development in rural areas. Simplify licensing processes, reduce bureaucratic hurdles, and provide incentives for telecommunication companies to invest in underserved regions.

10. Education and Awareness: Conduct educational programs to increase digital literacy and awareness of the benefits of internet connectivity. Teach rural communities how to use the internet effectively for personal, educational, and business purposes.

Implementing a combination of these strategies can help improve internet connectivity and mobile services in rural areas, bridging the digital divide and providing equal opportunities for all.",,,
2024/04/04 7:23:23 PM GMT+8,20 - 29,Male,Tertiary,Student,Bombali,GBENDEMBU,,Yes,Occasionally (2-3 times a month),6-8 hours,Smartphone;Laptop,QCell,Satisfied,Price and Affordability,Limited or Unreliable Connectivity,Workplace,Impact on productivity or work efficiency,Increased Reliability and Stability of Internet Connections,"Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video)",Extremely Important,"I am aware of 4G, but not 5G or 6G.","I have noticed some improvements in internet speed and quality, but not significant ones.","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","No, there have not been any initiatives or projects aimed at improving internet connectivity in my community.",Not very involved - Local authorities and community leaders have shown limited involvement in addressing connectivity issues.,"Yes, collaboration between mobile network providers, government agencies, and local communities is essential for enhancing rural connectivity.",Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Enhanced digital literacy programs to empower rural residents,Expansion of digital infrastructure to connect remote rural areas;Enhancement of telecommunication networks to provide faster and more reliable internet access,Conduct research to identify innovative solutions for improving rural connectivity.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,Allocate funding for the expansion of digital infrastructure in rural areas.,"Yes, government should allocate funding, develop policies and regulations that can work towards improving internet connectivity and mobile services in rural areas. Example, ensuring affordable and reliable cost of data.","Ensuring a strong and reliable internet connectivity and mobile services in rural areas, will definitely contribute to a good standard of living. ",,
2024/04/04 9:08:48 PM GMT+8,20 - 29,Male,Tertiary,Lab technician ,Tonkolili,,SAMBAIA,Yes,Constantly (Daily),6-8 hours,Smartphone;Laptop;Tablet,Africell,Neutral,Coverage and Signal Strength;Price and Affordability;Data Speed and Quality,Limited or Unreliable Connectivity;High Costs;Power Supply Issues,Community Centers;Remote Rural Areas,"Difficulty accessing information or resources online;Disruption to communication (e.g., email, messaging, video calls);Inability to complete online tasks","Better Coverage and Signal Strength;Increased Reliability and Stability of Internet Connections;Faster Data Speeds;More Affordable Internet Plans;Introduction of New Technologies (e.g., 5G/6G)","Video Streaming Services (e.g., YouTube, Netflix, Amazon Prime Video);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Online Banking and Payment Services",Extremely Important,"I am aware of 4G and 5G, but not 6G.",I am not sure.,"Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been initiatives or projects led by private sector entities (e.g., telecommunications companies).",Not very involved - Local authorities and community leaders have shown limited involvement in addressing connectivity issues.,"I believe collaboration could be helpful, but it may not be essential for enhancing rural connectivity.","Expansion of internet coverage to currently underserved rural areas;Improvement in internet speed and reliability;Development of infrastructure to support advanced mobile network technologies (e.g., 5G, 6G);Enhanced digital literacy programs to empower rural residents","Expansion of digital infrastructure to connect remote rural areas;Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity;Enhancement of telecommunication networks to provide faster and more reliable internet access;Development of e-commerce platforms to facilitate economic growth and entrepreneurship",Develop and implement training programs to enhance digital literacy skills in rural communities.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Allocate funding for the expansion of digital infrastructure in rural areas.,Infrastructural development ,,,
2024/04/05 2:59:06 AM GMT+8,20 - 29,Female,Tertiary,Student,Bombali,PAKI MASSABONG,,No,Occasionally (2-3 times a month),Less than 1 hour,Smartphone,Africell,Dissatisfied,Network Reputation and Reliability,Limited or Unreliable Connectivity,Home,Difficulty accessing information or resources online,Better Coverage and Signal Strength,"E-commerce Websites (e.g., Amazon, eBay, Alibaba)",Extremely Important,"Yes, I am aware of 4G, 5G, and 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been government-led initiatives or projects.","Somewhat involved - Local authorities and community leaders are making some efforts to address connectivity issues, but more action could be taken.",,Improvement in internet speed and reliability,Integration of technology into education to improve access to quality learning resources and opportunities,Conduct research to identify innovative solutions for improving rural connectivity.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Implement programs to promote digital literacy and skills training in rural communities.,,,,
2024/04/05 2:59:16 AM GMT+8,20 - 29,Female,Tertiary,Student,Bombali,PAKI MASSABONG,,No,Occasionally (2-3 times a month),Less than 1 hour,Smartphone,Africell,Dissatisfied,Network Reputation and Reliability,Limited or Unreliable Connectivity,Home,Difficulty accessing information or resources online,Better Coverage and Signal Strength,"E-commerce Websites (e.g., Amazon, eBay, Alibaba)",Extremely Important,"Yes, I am aware of 4G, 5G, and 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been government-led initiatives or projects.","Somewhat involved - Local authorities and community leaders are making some efforts to address connectivity issues, but more action could be taken.",,Improvement in internet speed and reliability,Integration of technology into education to improve access to quality learning resources and opportunities,Conduct research to identify innovative solutions for improving rural connectivity.,Invest in the expansion of telecommunications infrastructure to reach underserved rural areas.,Implement programs to promote digital literacy and skills training in rural communities.,,,,
2024/04/05 3:06:29 AM GMT+8,30 - 39,Female,Tertiary,Student,Bombali,MAKARI,,Yes,Constantly (Daily),2-4 hours,Smartphone,Orange,Satisfied,Coverage and Signal Strength,Limited or Unreliable Connectivity,School/University,"Disruption to communication (e.g., email, messaging, video calls)",Better Coverage and Signal Strength,"Social Media Platforms (e.g., Facebook, Instagram, Twitter);Video Conferencing Tools (e.g., Zoom, Microsoft Teams, Google Meet);Educational Platforms and E-learning Resources",Extremely Important,"Yes, I am aware of 4G, 5G, and 6G.","Yes, I have experienced significant improvements in internet speed and quality with advanced technologies (e.g., 4G, 5G, 6G).","Yes, I believe the implementation of 4G/5G/6G could significantly improve connectivity in rural areas.","Yes, there have been government-led initiatives or projects.","Somewhat involved - Local authorities and community leaders are making some efforts to address connectivity issues, but more action could be taken.","I believe collaboration could be helpful, but it may not be essential for enhancing rural connectivity.",Increased availability of internet-enabled devices at affordable prices,"Introduction of innovative technologies (e.g., IoT, AI) to improve agricultural practices and increase productivity",Collaborate with industry and government to pilot and evaluate new technologies and initiatives.,Partner with academia and government to develop and deploy innovative solutions for rural connectivity.,Develop policies and regulations to incentivize private sector investment in rural connectivity.,Yes,,,
